Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Dinner,(5pm-9pm),Roasted Tofu,120,3 oz,Produce Market,main-plant 0.69
Huffman,Dinner,(5pm-9pm),Hard-Boiled Eggs,60,1 egg,Produce Market,other 0.50
Huffman,Dinner,(5pm-9pm),Shredded Cheddar Cheese,120,0.25 cup,Produce Market,topping 0.69
Huffman,Dinner,(5pm-9pm),House Made Honey Mustard,120,1 tbsp,Produce Market,topping 0.60
Huffman,Dinner,(5pm-9pm),Herb Ranch Dressing,80,1 floz,Produce Market,topping 0.63
Huffman,Dinner,(5pm-9pm),Raspberry Vinaigrette,0,2 tbsp,Produce Market,produce 0.59
Huffman,Dinner,(5pm-9pm),Italian Dressing,280,1 serving,Produce Market,topping 0.67
Huffman,Dinner,(5pm-9pm),Herbed Balsamic Vinaigrette,25,1 floz,Produce Market,other 0.55
Huffman,Dinner,(5pm-9pm),Carrot Ginger Dressing,80,1 floz,Produce Market,produce 0.53
Huffman,Dinner,(5pm-9pm),Cider Herbed Vinaigrette,130,1 floz,Produce Market,other 0.55
Huffman,Dinner,(5pm-9pm),Nonfat Vanilla Greek Yogurt,170,1 cup,Fruit & Yogurt Bar,side 0.51
Huffman,Dinner,(5pm-9pm),Nonfat Plain Greek Yogurt,100,0.75 cup,Fruit & Yogurt Bar,side 0.48
Huffman,Dinner,(5pm-9pm),Nonfat Strawberry Greek Yogurt,180,1 cup,Fruit & Yogurt Bar,side 0.50
Huffman,Dinner,(5pm-9pm),Cottage Cheese,90,0.5 cup,Fruit & Yogurt Bar,topping 0.76
